lead_id,lead_indicator,date_part,source,purchases,time_spent,customer_group,onboarding,customer_code,n_visits
2,1.0,2024-01-27,signup,3,100.4736704078088,5,False,STWPXVNOWA,16
10,0.0,2024-01-11,signup,8,105.89892497880784,4,True,JWLXPVANUM,4
13,0.0,2024-01-22,signup,6,86.71722459773868,6,True,WNKCTHUHYI,5
17,1.0,2024-01-07,signup,5,106.95199923447056,8,False,INIQMTGGOO,8
19,0.0,2024-01-20,signup,3,94.66798969022712,9,True,SJGDAANOYJ,20
22,0.0,2024-01-06,signup,5,83.24937281486473,3,True,SPWNMQUWDX,2
27,1.0,2024-01-30,signup,2,112.00090426161913,1,True,IAPSPPLUZL,15
28,1.0,2024-01-11,signup,3,74.75867273317984,8,True,EDWMENKILD,22
29,0.0,2024-01-09,signup,6,114.65336143583444,3,False,DNGAQVVEDN,1
30,1.0,2024-01-20,signup,5,119.3912311465342,4,False,WSQVNMPZOH,6
32,0.0,2024-01-20,signup,4,86.70723555769624,9,False,GKIHITQJGU,7
33,1.0,2024-01-31,signup,5,116.60042507974538,4,True,QOVDCTYYGT,12
36,0.0,2024-01-28,signup,3,97.2485415667545,6,True,KYUCVVIKET,4
38,1.0,2024-01-02,signup,5,119.59333357187066,2,True,HFELNNHTEW,9
40,0.0,2024-01-01,signup,5,96.71810832286512,3,False,HOVYUZIDIO,4
41,0.0,2024-01-09,signup,4,94.5664266108652,6,False,BBRMJIJJBF,2
43,1.0,2024-01-13,signup,11,96.36995063138744,4,False,PWSIBFQQXN,13
44,0.0,2024-01-31,signup,8,84.03568573138168,8,True,XNVURJEHVZ,2
49,0.0,2024-01-29,signup,8,98.41382937085122,1,False,CPADDAXJVL,10
55,1.0,2024-01-16,signup,9,95.57079787857352,9,False,ZQFIPOQZHG,6
57,0.0,2024-01-31,signup,6,90.3344090449704,9,False,JFLRBCHQYR,3
58,0.0,2024-01-26,signup,12,100.02661587840488,7,True,SOMOYBNEQM,6
61,0.0,2024-01-03,signup,6,103.77171160080542,6,True,BTDCFQUACC,14
68,0.0,2024-01-02,signup,6,94.2568211593974,9,False,HTUIUEAPSS,5
72,0.0,2024-01-15,signup,4,108.54983690858126,5,True,KQAKBGLQBJ,2
87,1.0,2024-01-26,signup,3,111.64738283239056,7,False,XJMJZQDDJC,10
